Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.50mm,1,1uF,
"C10, C9",C_Disc_D10.0mm_W2.5mm_P5.00mm,2,20pf,
C11,CP_Radial_D5.0mm_P2.50mm,1,10uF,
"C2, C22, C3, C4, C5, C6, C7, C8",C_Disc_D5.0mm_W2.5mm_P5.00mm,8,",1µ",
"D1, D2",LED_D5.0mm_Clear,2,LED,
J1,PinHeader_2x07_P2.54mm_Vertical,1,JTAG,
J2,SIM72,1,Conn_02x36_SIMM,
J3,PinHeader_1x24_P2.54mm_Vertical,1,RS232 / IO,
J4,Conn_Edge_PCB_ISA8,1,Conn_02x31_Odd_Even,
J6,BarrelJack_Horizontal,1,Barrel_Jack,
"R1, R2, R22, R3, R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,10k,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,13,33,
R6,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1k,
"R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,2.2k,
SW1,SW_PUSH_6mm,1,SW_Push,
U1,DIP-28_W15.24mm_Socket_LongPads,1,27C512,
U10,DIP-16_W7.62mm_Socket_LongPads,1,74LS157 A4-A7,
U11,DIP-16_W7.62mm_Socket_LongPads,1,74LS157 A8-A10,
U2,PLCC-44_THT-Socket,1,XC9536XL-xxPCx44,
U3,PLCC-44_THT-Socket,1,68681_PLCC44,
U4,DIP-40_W15.24mm_Socket_LongPads,1,W65C816SxP,
U5,DIP-20_W7.62mm_Socket_LongPads,1,74LS373 ADR,
U6,DIP-20_W7.62mm_Socket_LongPads,1,74LS245 Data,
U9,DIP-16_W7.62mm_Socket_LongPads,1,74LS157 A0-A3,
Y1,Oscillator_DIP-14,1,64Mhz,
Y2,Crystal_HC49-U_Vertical,1,3.6864Mhz,
