Designator,Mid X,Mid Y,Rotation,Layer
C1,34.5,-39.25,90.0,top
C10,149.4,-107.2,180.0,top
C11,42.5,-26.0,270.0,top
C2,121.35,-36.43,180.0,top
C22,49.7,-108.9,180.0,top
C3,147.7,-90.2,0.0,top
C4,92.9,-66.6,180.0,top
C5,106.9,-42.8,180.0,top
C6,61.0,-51.5,90.0,top
C7,52.0,-34.4,180.0,top
C8,66.0,-108.8,180.0,top
C9,149.4,-103.2,180.0,top
D1,25.0,-49.27,90.0,top
D2,33.0,-49.27,90.0,top
J1,87.38,-114.87,270.0,top
J2,107.135,-26.27,180.0,top
J3,131.34,-116.1,90.0,top
J4,174.9,-70.0,90.0,top
J6,31.15,-28.21,0.0,top
R1,50.92,-75.0,180.0,top
R10,66.51,-37.74,90.0,top
R11,69.51,-37.74,90.0,top
R12,72.51,-37.74,90.0,top
R13,75.51,-37.74,90.0,top
R14,78.26,-37.74,90.0,top
R15,81.26,-37.74,90.0,top
R16,84.26,-37.74,90.0,top
R17,87.26,-37.74,90.0,top
R18,90.36,-37.74,90.0,top
R19,93.26,-37.74,90.0,top
R2,50.92,-70.95,180.0,top
R20,96.46,-37.74,90.0,top
R21,99.51,-37.74,90.0,top
R22,150.2,-86.0,0.0,top
R3,50.92,-66.9,180.0,top
R4,50.92,-62.85,180.0,top
R5,65.67,-74.75,180.0,top
R6,65.67,-70.7,180.0,top
R7,65.67,-66.65,180.0,top
R8,65.67,-62.95,0.0,top
R9,63.51,-37.74,90.0,top
SW1,25.5,-39.5,180.0,top
U1,93.12,-88.14,0.0,top
U10,74.6,-51.94,90.0,top
U11,100.25,-52.0,90.0,top
U2,130.05,-50.69,0.0,top
U3,130.05,-96.6,0.0,top
U4,30.88,-80.53,0.0,top
U5,49.61,-93.23,0.0,top
U6,68.49,-93.23,0.0,top
U9,51.56,-47.14,0.0,top
Y1,154.0,-45.1,0.0,top
Y2,149.4,-97.2,0.0,top
